2,0
2018-12-06-15:06:04.43338,141.38,138.482
2018-12-06-15:06:04.93382,141.52,138.482
2018-12-06-15:06:05.43485,141.52,138.82
2018-12-06-15:06:05.93528,141.58,139.127
2018-12-06-15:06:06.43674,141.58,139.127
2018-12-06-15:06:06.93726,141.52,139.249
2018-12-06-15:06:07.43823,141.48,139.365
2018-12-06-15:06:07.93891,141.48,139.365
2018-12-06-15:06:08.43959,141.43,139.447
2018-12-06-15:06:08.94019,141.39,139.441
2018-12-06-15:06:09.44123,141.39,139.441
2018-12-06-15:06:09.94199,141.38,139.5
2018-12-06-15:06:10.46983,141.38,139.507
2018-12-06-15:06:10.97028,141.38,139.507
2018-12-06-15:06:11.47147,141.38,139.484
2018-12-06-15:06:11.97396,141.33,139.541
2018-12-06-15:06:12.47467,141.33,139.541
2018-12-06-15:06:12.97543,141.34,139.519
2018-12-06-15:06:13.47591,141.34,139.519
2018-12-06-15:06:13.97642,141.38,139.516
2018-12-06-15:06:14.47726,141.38,139.535
2018-12-06-15:06:14.97790,141.38,139.535
2018-12-06-15:06:15.47919,141.39,139.495
2018-12-06-15:06:15.98057,141.39,139.531
2018-12-06-15:06:16.48174,141.39,139.531
2018-12-06-15:06:16.98300,141.34,139.477
2018-12-06-15:06:17.48397,141.34,139.496
2018-12-06-15:06:17.98510,141.34,139.496
2018-12-06-15:06:18.48566,141.34,139.511
2018-12-06-15:06:18.98629,141.34,139.474
2018-12-06-15:06:19.48728,141.34,139.474
2018-12-06-15:06:20.00931,141.34,139.488
2018-12-06-15:06:20.50977,141.38,139.5
2018-12-06-15:06:21.01100,141.38,139.5
2018-12-06-15:06:21.51143,141.39,139.469
2018-12-06-15:06:22.01164,141.39,139.469
2018-12-06-15:06:22.51269,141.39,139.464
2018-12-06-15:06:23.01338,140.41,139.496
2018-12-06-15:06:23.51391,140.41,139.496
2018-12-06-15:06:24.01500,140.26,139.449
2018-12-06-15:06:24.51577,140.31,139.496
2018-12-06-15:06:25.01699,140.31,139.496
2018-12-06-15:06:25.51768,140.55,139.545
2018-12-06-15:06:26.01875,140.8,139.723
2018-12-06-15:06:26.51917,140.8,139.723
2018-12-06-15:06:27.01965,141.04,139.921
2018-12-06-15:06:27.52382,141.24,140.069
2018-12-06-15:06:28.02451,141.24,140.069
2018-12-06-15:06:28.52565,141.39,140.25
2018-12-06-15:06:29.02676,141.43,140.387
2018-12-06-15:06:29.55680,141.43,140.387
2018-12-06-15:06:30.05757,141.44,140.435
2018-12-06-15:06:30.55806,141.44,140.435
2018-12-06-15:06:31.05839,141.42,140.546
2018-12-06-15:06:31.55900,141.38,140.553
2018-12-06-15:06:32.05934,141.38,140.553
2018-12-06-15:06:32.55981,141.37,140.547
2018-12-06-15:06:33.06057,141.38,140.599
2018-12-06-15:06:33.56169,141.38,140.599
2018-12-06-15:06:34.06235,141.38,140.582
2018-12-06-15:06:34.56886,141.39,140.598
2018-12-06-15:06:35.07396,141.39,140.598
2018-12-06-15:06:35.57451,141.38,140.61
2018-12-06-15:06:36.07576,141.39,140.569
2018-12-06-15:06:36.57684,141.39,140.569
2018-12-06-15:06:37.07755,141.38,140.599
2018-12-06-15:06:37.58330,141.39,140.579
2018-12-06-15:06:38.08489,141.39,140.579
2018-12-06-15:06:38.58595,141.38,140.562
2018-12-06-15:06:39.08632,141.38,140.562
2018-12-06-15:06:39.58671,141.39,140.587
2018-12-06-15:06:40.08725,141.38,140.577
2018-12-06-15:06:40.58793,141.38,140.577
2018-12-06-15:06:41.08909,141.39,140.537
2018-12-06-15:06:41.58964,141.37,140.586
2018-12-06-15:06:42.09016,141.37,140.586
2018-12-06-15:06:42.59086,141.39,140.531
2018-12-06-15:06:43.09448,141.39,140.525
2018-12-06-15:06:43.59972,141.39,140.525
2018-12-06-15:06:44.10025,141.38,140.549
2018-12-06-15:06:44.60159,141.38,140.521
2018-12-06-15:06:45.10304,141.38,140.521
2018-12-06-15:06:45.60350,141.39,140.509
2018-12-06-15:06:46.10403,141.39,140.509
2018-12-06-15:06:46.60452,141.43,140.533
2018-12-06-15:06:47.10514,141.43,140.493
2018-12-06-15:06:47.60591,141.43,140.493
2018-12-06-15:06:48.10683,141.43,140.477
2018-12-06-15:06:48.63548,141.42,140.501
2018-12-06-15:06:49.13637,141.42,140.501
2018-12-06-15:06:49.63710,141.39,140.461
2018-12-06-15:06:50.13818,141.39,140.439
2018-12-06-15:06:50.63839,141.39,140.439
2018-12-06-15:06:51.13924,141.38,140.454
2018-12-06-15:06:51.64613,141.38,140.433
2018-12-06-15:06:52.14710,141.38,140.433
2018-12-06-15:06:52.64745,141.43,140.386
2018-12-06-15:06:53.14915,141.44,140.441
2018-12-06-15:06:53.64996,141.44,140.441
2018-12-06-15:06:54.15690,141.43,140.403
2018-12-06-15:06:54.66352,141.43,140.403
2018-12-06-15:06:55.17615,141.37,140.395
2018-12-06-15:06:55.67681,141.09,140.334
2018-12-06-15:06:56.18348,141.09,140.334
2018-12-06-15:06:56.69010,140.85,140.184
2018-12-06-15:06:57.19176,140.65,140.019
2018-12-06-15:06:57.70450,140.65,140.019
2018-12-06-15:06:58.21164,140.51,139.806
2018-12-06-15:06:58.71434,140.21,139.58
2018-12-06-15:06:59.22194,140.21,139.58
2018-12-06-15:06:59.72859,139.98,139.308
2018-12-06-15:07:00.24126,139.98,139.308
2018-12-06-15:07:00.75388,139.67,139.046
2018-12-06-15:07:01.26053,139.38,138.763
2018-12-06-15:07:01.77312,139.38,138.763
2018-12-06-15:07:02.28495,139.16,138.474
2018-12-06-15:07:02.78563,138.85,138.192
2018-12-06-15:07:03.29228,138.85,138.192
2018-12-06-15:07:03.80488,138.55,137.9
2018-12-06-15:07:04.30657,138.3,137.63
2018-12-06-15:07:04.81318,138.3,137.63
2018-12-06-15:07:05.32004,138.03,137.318
2018-12-06-15:07:05.83246,138.03,137.318
2018-12-06-15:07:06.37716,137.78,137.037
2018-12-06-15:07:06.88377,137.56,136.759
2018-12-06-15:07:07.39033,137.56,136.759
2018-12-06-15:07:07.89694,137.26,136.439
2018-12-06-15:07:08.40463,137.02,136.201
2018-12-06-15:07:08.91206,137.02,136.201
2018-12-06-15:07:09.42386,136.75,135.896
2018-12-06-15:07:09.92552,136.49,135.603
2018-12-06-15:07:10.45387,136.49,135.603
2018-12-06-15:07:10.96134,136.25,135.317
2018-12-06-15:07:11.47594,135.95,135.012
2018-12-06-15:07:11.98262,135.95,135.012
2018-12-06-15:07:12.49027,135.71,134.73
2018-12-06-15:07:12.99687,135.71,134.73
2018-12-06-15:07:13.50352,135.47,134.443
2018-12-06-15:07:14.01257,135.22,134.157
2018-12-06-15:07:14.51980,135.22,134.157
2018-12-06-15:07:15.02549,134.98,133.879
2018-12-06-15:07:15.52815,134.73,133.61
2018-12-06-15:07:16.03527,134.73,133.61
2018-12-06-15:07:16.54704,134.45,133.328
