No.,2Theta [°],d-spacing [Å],Int.,F,h,k,l,Mult.
106,20.166,4.3999,3982.33,7.99,-1,-2,4,2
650,36.842,2.4377,3967.51,15.14,4,3,1,2
254,26.623,3.3456,3928.63,10.61,2,3,1,2
763,38.495,2.3367,3809.27,15.57,0,-5,3,2
337,29.55,3.0205,3702.41,11.51,-3,0,7,2
231,25.773,3.4539,3652.82,9.89,3,0,5,2
546,34.438,2.6021,3631.35,13.45,4,-1,6,2
830,39.616,2.2732,3575.5,15.57,4,-1,9,2
757,38.388,2.343,3555.27,14.99,4,3,4,2
816,39.353,2.2877,3509.02,15.31,-5,2,1,2
829,39.599,2.2741,3492.18,15.38,-5,-2,1,2
28,13.612,6.4999,3378.27,4.92,0,1,-4,2
627,36.33,2.4708,3352.82,13.7,1,4,7,2
514,33.415,2.6794,3343,12.49,-3,-2,7,2
495,33.068,2.7067,3332.75,12.33,4,-1,5,2
818,39.432,2.2833,3292.45,14.86,-3,4,5,2
78,18.149,4.884,3290.69,6.52,-2,1,3,2
512,33.373,2.6827,3251.29,12.3,-1,-2,10,2
827,39.555,2.2765,3185.79,14.67,3,4,5,2
342,29.718,3.0039,3128.49,10.65,3,2,5,2
94,19.641,4.5163,3078.01,6.84,-2,1,4,2
224,25.579,3.4797,2999.59,8.89,-2,1,7,2
74,17.475,5.0709,2861.38,5.85,-1,-2,2,2
808,39.223,2.295,2852.02,13.75,-5,0,5,2
435,31.909,2.8024,2773.02,10.82,4,-1,4,2
705,37.614,2.3894,2724,12.83,4,1,8,2
572,34.966,2.564,2675.78,11.74,3,-2,8,2
724,37.97,2.3678,2674.31,12.85,-4,-3,3,2
741,38.127,2.3584,2672.62,12.9,0,5,3,2
121,21.324,4.1635,2670.2,6.93,0,1,-7,2
90,18.651,4.7537,2628.3,5.99,-1,-2,3,2
66,17.047,5.1972,2513.58,5.34,2,-1,2,2
612,35.904,2.4992,2512.17,11.71,4,1,7,2
